Name	Currency
LEGACYTEXAS FINANCIAL GROUP	USD
UNITED COMMUNITY BANKS/GA	USD
TOWNE BANK	USD
EAGLE BANCORP INC	USD
WESBANCO INC	USD
BANNER CORPORATION	USD
FCB FINANCIAL HOLDINGS-CL A	USD
SERVISFIRST BANCSHARES INC	USD
NORTHWEST BANCSHARES INC	USD
FIRST MERCHANTS CORP	USD
FIRST COMMONWEALTH FINL CORP	USD
INDEPENDENT BANK CORP/MA	USD
HILLTOP HOLDINGS INC	USD
BOFI HOLDING INC	USD
RENASANT CORP	USD
FIRST FINANCIAL BANCORP	USD
WSFS FINANCIAL CORP	USD
CAPITOL FEDERAL FINANCIAL IN	USD
PARK NATIONAL CORP	USD
S & T BANCORP INC	USD
PROVIDENT FINANCIAL SERVICES	USD
WALKER & DUNLOP INC	USD
WESTAMERICA BANCORPORATION	USD
FIRST HAWAIIAN INC	USD
BANCFIRST CORP	USD
KEARNY FINANCIAL CORP/MD	USD
INDEPENDENT BANK GROUP INC	USD
BENEFICIAL BANCORP INC	USD
BOSTON PRIVATE FINL HOLDING	USD
CITY HOLDING CO	USD
TRUSTCO BANK CORP NY	USD
TOMPKINS FINANCIAL CORP	USD
WASHINGTON TRUST BANCORP	USD
BROOKLINE BANCORP INC	USD
FLUSHING FINANCIAL CORP	USD
FIRST FINANCIAL CORP/INDIANA	USD
STOCK YARDS BANCORP INC	USD
TFS FINANCIAL CORP	USD
SANDY SPRING BANCORP INC	USD
DIME COMMUNITY BANCSHARES	USD
1ST SOURCE CORP	USD
ORITANI FINANCIAL CORP	USD
PHH CORP	USD
NATIONSTAR MORTGAGE HOLDINGS	USD
REPUBLIC BANCORP INC-CLASS A	USD
BERKSHIRE HATHAWAY INC-CL B	USD
BERKSHIRE HATHAWAY INC-CL A	USD
GOLDMAN SACHS GROUP INC	USD
AMERICAN EXPRESS CO	USD
MORGAN STANLEY	USD
BLACKROCK INC	USD
SCHWAB (CHARLES) CORP	USD
BANK OF NEW YORK MELLON CORP	USD
CME GROUP INC	USD
CAPITAL ONE FINANCIAL CORP	USD
S&P GLOBAL INC	USD
INTERCONTINENTAL EXCHANGE IN	USD
STATE STREET CORP	USD
SYNCHRONY FINANCIAL	USD
